"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Cade Harris","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".182",".250",".284",".534",".235","","26","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3006661"
"Vinny Esposito","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".169",".218",".264",".482",".210","","24","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3007088"
"Pabel Manzanero","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".195",".225",".290",".515",".221","","31","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa736879"
"Luis Arcendo","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".168",".211",".221",".432",".192","","12","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3003281"
"Cameron Warren","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".184",".228",".280",".508",".221","","31","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3011378"
"Ricky Martinez","Diamondbacks","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".178",".218",".228",".446",".197","","14","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3009885"
"Connor McVey","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".179",".245",".247",".492",".220","","31","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3006941"
"Jose Peroza","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".152",".191",".241",".432",".188","","14","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3003288"
"Ricardo Cubillan","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".190",".249",".249",".499",".223","","28","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa917089"
"Trent Tingelstad","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".159",".216",".235",".451",".200","","21","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3009896"
"Wilson Alvarez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".166",".201",".209",".410",".181","","9","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa916709"
"Daniel Wasinger","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".144",".184",".202",".386",".171","","-2","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3007785"
"Emilio Gustave","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".175",".219",".261",".480",".209","","23","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa880795"
"Miller Chacon","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".145",".184",".202",".387",".171","","-2","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3003425"
"Oscar Gonzalez","Phillies","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".149",".188",".208",".396",".175","","1","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3005776"
"Carlos Paraguate","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".165",".206",".218",".424",".188","","7","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3005757"
"Jesus Azuaje","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".164",".212",".213",".426",".191","","11","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3004397"
"Junior Soto","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".166",".203",".274",".478",".205","","21","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa829108"
"Leugim Castillo","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".179",".217",".279",".496",".214","","25","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3005128"
"Jacob Sanford","Yankees","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".152",".191",".239",".430",".187","","8","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3010585"
"Russ Olive","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".183",".227",".278",".505",".219","","30","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3006930"
"Carlos Rivero","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".161",".207",".223",".429",".190","","11","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa828427"
"Matthew Acosta","Padres","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".177",".224",".251",".475",".208","","25","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3009870"
"Zachary Rheams","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".172",".224",".280",".504",".219","","30","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3008050"
"Sander Mora","Cardinals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".159",".201",".201",".402",".180","","7","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3006578"
"Yorbin Ceuta","Astros","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".152",".187",".199",".387",".171","","2","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa956378"
"Adan Munoz","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".184",".232",".278",".510",".222","","32","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa201393"
"Grant Lavigne","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".199",".262",".295",".557",".244","","32","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3007743"
"Jeremy Arocho","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".164",".209",".210",".419",".187","","13","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3004046"
"Nicolas Torres","Phillies","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".176",".212",".228",".440",".194","","13","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3002711"
"Edwin Mateo","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".153",".200",".224",".424",".187","","13","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3003364"
"Chad Smith","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".166",".218",".257",".475",".208","","23","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa875028"
"Michael Wielansky","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".179",".226",".247",".473",".209","","27","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3006730"
"Cameron Cannon","Red Sox","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".168",".205",".233",".438",".192","","8","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3011467"
"Wadye Ynfante","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".173",".220",".254",".474",".208","","22","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa828382"
"Jesus Bastidas","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".165",".203",".217",".420",".185","","8","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa916969"
"Onil Pena","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".168",".228",".270",".498",".218","","29","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa828232"
"Logan Sowers","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".161",".209",".253",".462",".202","","20","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa829551"
"Joseph Perez","Astros","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".146",".184",".229",".413",".179","","7","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3006868"
"Kole Enright","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".183",".231",".263",".495",".217","","20","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa917991"
"Darling Florentino","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".159",".199",".251",".450",".195","","12","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3006901"
"Bryce Brown","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".167",".217",".256",".473",".207","","22","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3003434"
"Hector Martinez","Dodgers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".155",".194",".205",".399",".177","","6","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3002845"
"Nick Ward","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".182",".238",".253",".491",".218","","29","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3007089"
"Jean Carmona","Orioles","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".162",".201",".217",".418",".185","","7","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3003340"
"Luis Verdugo","Cubs","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".159",".196",".220",".415",".182","","6","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3006888"
"Pedro Alfonseca","Indians","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".155",".194",".238",".432",".188","","7","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa918899"
"Daniel Montano","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".196",".240",".298",".538",".232","","24","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa917068"
"Guillermo Granadillo","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".174",".215",".249",".464",".203","","24","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa917297"
"Jhoan Paulino","Athletics","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".151",".184",".198",".382",".169","","0","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3005563"
"Kendy Moya","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".161",".210",".210",".419",".188","","9","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa917443"
"Jake Holton","Tigers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".174",".231",".258",".489",".216","","26","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3010599"
"Clayton Fisher","Orioles","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".161",".195",".225",".420",".184","","6","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3009865"
"Cesar Trejo","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".163",".212",".261",".473",".206","","21","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3006915"
"Donivan Williams","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".160",".206",".213",".419",".187","","12","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3004950"
"Jean Montero","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".154",".200",".224",".424",".188","","9","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa917386"
"Kyle Stowers","Orioles","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".165",".209",".256",".465",".202","","19","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa1115829"
"Stanley Martinez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".162",".203",".250",".453",".197","","6","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa873540"
"John Strunc","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".168",".203",".223",".426",".188","","9","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3010892"
"Miguel Perez","Mariners","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".140",".188",".214",".402",".178","","6","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3004053"
"Eric Wagaman","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".175",".218",".272",".490",".212","","26","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3002875"
"Keshawn Lynch","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".173",".231",".227",".458",".206","","21","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3003949"
"David Arendas","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".159",".225",".266",".491",".216","","28","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3008616"
"Oneill Manzueta","Rays","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".143",".187",".215",".402",".177","","6","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3005942"
"Zach Malis","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".182",".226",".270",".496",".216","","28","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3007025"
"Mc Gregory Contreras","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".169",".208",".256",".464",".201","","18","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa917178"
"Edgar Martinez","Royals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".168",".206",".214",".419",".186","","6","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3005790"
"Zachary Biermann","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".165",".209",".268",".477",".206","","25","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3010158"
"Kevin Lachance","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".159",".207",".210",".418",".187","","8","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa918198"
"Nicholas Northcut","Red Sox","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".158",".200",".231",".431",".189","","6","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3007640"
"Carlos Reina","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".141",".190",".202",".392",".175","","-2","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa917054"
"Steward Berroa","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".149",".197",".212",".409",".182","","5","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3003276"
"Jeremy Fernandez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".196",".223",".265",".488",".211","","23","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa880735"
"Dalton Hoiles","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".166",".216",".250",".466",".205","","20","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3008229"
"Bryan Torres","Padres","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".155",".198",".199",".396",".177","","5","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3002858"
"Luis Joseph","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".171",".201",".225",".426",".186","","8","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa828231"
"Angel Lopez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".160",".201",".220",".422",".186","","8","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3003283"
"Spencer Horwitz","Blue Jays","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".181",".220",".264",".485",".211","","25","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa1115496"
"Tra'mayne Holmes","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".174",".227",".250",".476",".210","","23","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa829468"
"Brett Kinneman","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".160",".216",".247",".464",".205","","20","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3006668"
"Luis Diaz","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".158",".203",".215",".418",".186","","8","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa917355"
"Joe Gillette","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".167",".223",".268",".491",".215","","27","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3006849"
"Nicholas Decker","Red Sox","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".168",".214",".262",".476",".207","","18","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3008590"
"Mateo Gil","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".156",".191",".206",".398",".176","","4","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3007050"
"Francisco Hernandez","Cardinals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".155",".192",".232",".424",".185","","10","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3004942"
"Brendt Citta","Pirates","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".175",".220",".251",".471",".207","","22","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3007633"
"Orlando Zapata","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".162",".198",".225",".423",".186","","8","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3008145"
"Madison Santos","Yankees","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".148",".189",".226",".415",".182","","5","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3006206"
"Cristhian Pedroza","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".161",".204",".216",".419",".186","","8","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa917110"
"Albert Guaimaro","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".177",".213",".255",".469",".204","","20","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa917084"
"Eric De La Rosa","Tigers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".167",".214",".247",".461",".202","","17","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3006911"
"Ricardo Cespedes","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".172",".212",".245",".457",".200","","22","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa828197"
"Nicolas Feight","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".182",".219",".278",".497",".214","","27","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3004045"
"Brayan Gonzalez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".151",".192",".203",".395",".176","","1","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3004384"
"Ulysses Cantu","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".170",".221",".270",".491",".214","","24","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa918089"
"Jeremiah Jackson","Angels","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".141",".179",".210",".389",".171","","-2","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3007740"
"Fabian Pertuz","Cubs","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".168",".203",".223",".426",".187","","9","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3005500"
"Jhosner Vargas","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".170",".203",".216",".419",".185","","7","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa917109"
"Luis Avalo","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".140",".174",".202",".376",".165","","-6","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa916731"
"Jorbit Vivas","Dodgers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".163",".199",".213",".412",".182","","10","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3005511"
"Francisco Ortiz","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".162",".204",".227",".431",".190","","-4","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3003419"
"Brandon Benson","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".163",".209",".256",".465",".203","","19","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3002879"
"Nicholas Gatewood","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".177",".216",".278",".495",".213","","26","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3007006"
"Troy Johnston","Marlins","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".164",".213",".239",".452",".199","","21","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3010899"
"Ronny Brito","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".153",".195",".212",".407",".180","","4","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa917329"
"Christopher Pasteur","Yankees","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".152",".206",".246",".452",".199","","16","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3008138"
"Henderson De Oleo","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".147",".193",".225",".418",".184","","7","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa872784"
"Darlyn Del Villar","Cardinals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".154",".192",".200",".392",".174","","3","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3005724"
"D'Shawn Knowles","Angels","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".147",".191",".216",".407",".179","","4","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3006889"
"Reniel Ozuna","Reds","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".169",".222",".259",".480",".210","","21","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa917151"
"Hagen Owenby","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".183",".229",".257",".486",".213","","26","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3003180"
"Marshawn Taylor","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".157",".191",".203",".394",".174","","0","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3006845"
"Jacob Randa","Nationals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".175",".218",".260",".479",".209","","21","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3010033"
"Chad McClanahan","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".164",".224",".242",".466",".207","","21","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa918209"
"Johnathan Rodriguez","Indians","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".168",".212",".250",".463",".202","","16","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3004147"
"Shael Mendoza","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".183",".218",".243",".461",".202","","18","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa917059"
"Matthew Lloyd","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".172",".224",".282",".507",".220","","28","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa1169978"
"Wilson Valdez","Phillies","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".163",".196",".234",".430",".187","","9","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3005792"
"Seth Gray","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".150",".191",".221",".412",".181","","3","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa1115752"
"Jose Curpa","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".169",".210",".214",".424",".189","","8","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3002703"
"Erik Ostberg","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".166",".219",".240",".458",".203","","23","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3004505"
"Fernando Villegas","Pirates","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".172",".217",".249",".466",".204","","21","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3007642"
"Jake Brodt","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".169",".217",".273",".490",".212","","25","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3007316"
"Matthew Marlowe","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".161",".205",".234",".439",".192","","16","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa1170288"
"Blaine Crim","Rangers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".190",".227",".291",".518",".221","","23","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3010170"
"Eric Senior","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".170",".209",".254",".463",".201","","18","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa875381"
"Yeikel Blandin","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".159",".195",".222",".417",".183","","6","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3003351"
"Eddy Diaz","Rockies","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".191",".225",".248",".474",".207","","8","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3004979"
"Sauryn Lao","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".148",".191",".219",".409",".180","","8","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa917331"
"Jackson Lueck","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".158",".217",".237",".454",".201","","18","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3007011"
"Leandro Santana","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".173",".220",".264",".485",".212","","25","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa828255"
"Aaron Familia","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".147",".193",".220",".413",".183","","6","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa916733"
"Gionti Turner","Rays","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".156",".189",".203",".392",".173","","3","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3007326"
"Jose Quezada","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".154",".195",".219",".414",".183","","6","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3005165"
"Andrew Warner","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".158",".209",".250",".459",".201","","18","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3007095"
"Martin Bechina","Athletics","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".160",".201",".236",".438",".191","","15","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa1053075"
"Kenen Irizarry","Rangers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".165",".208",".228",".436",".192","","3","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3007310"
"Luis Andujar","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".155",".194",".221",".415",".182","","6","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3005734"
"Saul Torres","Yankees","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".127",".169",".187",".356",".159","","-11","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa923363"
"Yerdelluis Vargas","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".146",".187",".200",".387",".172","","3","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3003184"
"Rigoberto Terrazas","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".175",".230",".247",".476",".211","","25","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa827958"
"Ismael Alcantara","Dodgers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".149",".192",".215",".407",".180","","8","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3002862"
"Rochest Cruz","Cubs","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".163",".204",".211",".415",".184","","8","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3003426"
"Julio Carreras","Rockies","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".183",".221",".253",".473",".207","","8","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3005598"
"Jose Almonte","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".162",".206",".253",".459",".200","","17","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa828294"
"Jose Bermudez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".174",".221",".248",".469",".206","","20","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa916720"
"Jordan Verdon","Tigers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".177",".220",".260",".480",".209","","22","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3006862"
"James Alexander","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".156",".202",".230",".432",".190","","15","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa1170495"
"Luis Roman","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".171",".217",".266",".483",".210","","24","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3004063"
